Timestamp,Who is the \\nworst billionaire?,Which CTA bus line needs the most investment?,Select what percentage of the Illinois Budget ($55.9 BILLION) should be used on housing programs?,What percentage of the Illinois Budget ($55.9 BILLION) was used on housing programs?,"What is a medical procedure you would utilize, regardless of the cost?",How many billionaires are too many?,"Name the most important state budget priority,",How much of the illinois budget goes to law enforcement and policing?,What is Illinois' primary source of revenue?,Have feedback? Drop your email in and we'll get back to you!,Column 12
9/8/2026 15:13:17,Elon Musk,Any bus going South,10,1%,There isn't one,Too many,Policing,Too damn much,Sales Tax,,
9/8/2026 15:14:27,Sam Altman,The no. 8 (Halsted),5,0.44%,Anything that would be life preserving for someone who could expect more quality years. Money is imaginary. Life is not.,Too many,Health care,10%,Income taxes,,
9/8/2026 15:17:01,Elon Musk,The no. 79 (79th street),5,0.44%,Tumor-removal,14,Education,3%,Income taxes,,
9/8/2026 15:19:55,Elon Musk,The no. 79 (79th street),5,0.44%,Heart Surgey,12,Health care,5%,Dispersement from the Federal Government,,
9/8/2026 15:20:27,Elon Musk,Any bus going South,10,1%,CAT Scan/MRI/XRay,Too many,Policing,Too damn much,Sales Tax,,
9/8/2026 15:27:11,Elon Musk,Any bus going South,8,0.44%,Medication,Too many,Education,5%,Income taxes,,
9/8/2026 15:28:11,Jeff Bezos,Any bus going South,10,0.01%,Biopsy,Too many,Affordable Housing,,Sales Tax,,
9/8/2026 18:22:24,Jeff Bezos,The no. 79 (79th street),10,10%,Tumor-removal,13,Affordable Housing,10%,Investments,,
9/8/2026 20:44:41,Jeff Bezos,Any bus going South,10,1%,Tumor-removal,Too many,Education,5%,Income taxes,,
9/8/2026 21:24:45,Sam Altman,Any bus going South,10,1%,There isn't one,12,Affordable Housing,10%,Income taxes,,
9/8/2026 21:32:44,All of them,Any bus going South,10,0.44%,Tumor-removal,Too many,Policing,5%,Property taxes,,
9/9/2026 15:41:42,Jeff Bezos,Any bus going South,3,0.44%,Tumor-removal,Too many,Health care,10%,Income taxes,,
9/9/2026 15:49:59,Jeff Bezos,Any bus going South,10,0.44%,All of these,Too many,Affordable Housing,10%,Weed/Booze,,
9/9/2026 15:51:59,Rupert Murdoch,49 the spine,5,0.44%,Anything that would be life preserving for someone who could expect more quality years. Money is imaginary. Life is not.,11,Affordable Housing,4,Weed/Booze,,
9/9/2026 16:03:43,Sam Altman,Buses are for commoners.,2,0.44%,Anything that would be life preserving for someone who could expect more quality years. Money is imaginary. Life is not.,Too many,Affordable Housing,5%,Weed/Booze,,
9/9/2026 16:56:45,They are all fully saturated with evil. I see no need to create false rankings. ,Any bus going South,10,0.44%,Anything that would be life preserving for someone who could expect more quality years. Money is imaginary. Life is not.,Too many,Education,Too damn much,Weed/Booze,,
9/9/2026 16:56:50,They are all fully saturated with evil. I see no need to create false rankings. ,The no. 8 (Halsted),10,0.44%,Anything that would be life preserving for someone who could expect more quality years. Money is imaginary. Life is not.,Too many,Education,Too damn much,Weed/Booze,,
9/10/2026 12:05:14,Elon Musk,The no. 8 (Halsted),10,0.44%,Medication,Too many,Health care,5%,Weed/Booze,,
9/10/2026 12:09:14,Jeff Bezos,The no. 8 (Halsted),3,0.01%,Biopsy,12,Affordable Housing,Too damn much,Weed/Booze,,
